"","X","jj","date","tmp","rain","humidity","insolation","market","volume","trade_price","year","month","area","output10a","output","total_indices","indices","X5humidity","X10humidity","y"
"211",618,105,2020-08-25,30.2,0,66.8,24.3,1,3.12,3.6,2020,8,76,5864,4455,100.19,91.3,82,15,1154.11727010574
"212",619,105,2020-08-26,26.4,0.1,86.3,8.26,1,0.15,0.27,2020,8,76,5864,4455,100.19,91.3,75,12,1793.91891891892
"213",620,105,2020-08-27,30.1,0,71,18.01,1,0.32,0.56,2020,8,76,5864,4455,100.19,91.3,81,10,1763.49206349206
"214",621,105,2020-08-28,29.4,0.4,75.3,20.25,1,1.7,0.97,2020,8,76,5864,4455,100.19,91.3,92,23,567.527891955373
"215",624,105,2020-08-31,23.2,0.4,86.8,3.95,1,0.27,0.49,2020,8,76,5864,4455,100.19,91.3,81,22,1800
"216",625,105,2020-09-01,25.1,0.2,81.6,21.31,1,0.14,0.24,2020,9,76,5864,4455,100.74,100.51,79,20,1800
"217",626,105,2020-09-02,23.9,154.4,96,1.78,1,0.15,0.25,2020,9,76,5864,4455,100.74,100.51,99,19,1748.27586206896
"218",627,105,2020-09-03,25.9,77,65.3,15.32,1,0.33,0.66,2020,9,76,5864,4455,100.74,100.51,87,28,2000
"219",628,105,2020-09-04,24.7,0,52.6,23.75,1,0.22,0.45,2020,9,76,5864,4455,100.74,100.51,72,22,1995.51569506726
"220",629,105,2020-09-05,21.6,0,72.6,5.5,1,0.55,1.11,2020,9,76,5864,4455,100.74,100.51,90,19,1998.19168173599
"221",631,105,2020-09-07,22.2,236.2,80.8,4.63,1,3.73,4.24,2020,9,76,5864,4455,100.74,100.51,97,26,1138.79194630873
"222",632,105,2020-09-08,25.4,0,51.6,16.67,1,0.2,0.39,2020,9,76,5864,4455,100.74,100.51,76,24,2000
"223",634,105,2020-09-10,23.3,0,66,18.99,1,5.02,7.48,2020,9,76,5864,4455,100.74,100.51,87,23,1490.13551215624
"224",635,105,2020-09-11,20.7,0.2,82.1,7.23,1,0.36,0.7,2020,9,76,5864,4455,100.74,100.51,82,21,1944.44444444445
"225",636,105,2020-09-12,18.8,52.5,94.4,3.27,1,6.18,7.74,2020,9,76,5864,4455,100.74,100.51,97,24,1252.34703787633
"226",638,105,2020-09-14,21,0,75.6,17.64,1,0.46,0.9,2020,9,76,5864,4455,100.74,100.51,89,21,1954.64362850972
"227",639,105,2020-09-15,21.7,0,78.1,19.49,1,0.55,1,2020,9,76,5864,4455,100.74,100.51,85,19,1824.81751824818
"228",640,105,2020-09-16,22.7,0.2,78,12.36,1,0.73,1.45,2020,9,76,5864,4455,100.74,100.51,98,20,1998.62637362637
"229",641,105,2020-09-17,21.8,0,65.4,2.36,1,0.45,0.85,2020,9,76,5864,4455,100.74,100.51,84,23,1897.77777777778
"230",642,105,2020-09-18,21.7,0,52,17.54,1,3.97,5.01,2020,9,76,5864,4455,100.74,100.51,80,22,1264.31273644388
"231",645,105,2020-09-21,17.8,0,67.5,18.16,1,1.11,2.19,2020,9,76,5864,4455,100.74,100.51,79,15,1963.16262353998
"232",646,105,2020-09-22,16.7,0,75.8,11.35,1,1.23,2.21,2020,9,76,5864,4455,100.74,100.51,73,13,1804.08163265306
"233",647,105,2020-09-23,17.2,2.7,82.9,7.69,1,0.69,1.11,2020,9,76,5864,4455,100.74,100.51,74,12,1620.43795620438
"234",648,105,2020-09-24,18.5,20.4,86.4,8.6,1,4.77,6.04,2020,9,76,5864,4455,100.74,100.51,78,11,1267.57607555089
"235",649,105,2020-09-25,18.6,8.7,85.5,7.7,1,0.66,1.15,2020,9,76,5864,4455,100.74,100.51,84,10,1742.42424242424
"236",650,105,2020-09-26,17.8,5.2,85.8,8.43,1,6.07,8.42,2020,9,76,5864,4455,100.74,100.51,81,10,1386.82042833608
"237",652,105,2020-09-28,17.9,0,74,20.04,1,1.61,2.91,2020,9,76,5864,4455,100.74,100.51,85,8,1813.08411214953
"238",659,105,2020-10-05,15.6,0,43.5,19.54,1,0.54,1.03,2020,10,76,5864,4455,100.18,107.03,60,5,1907.40740740741
"239",660,105,2020-10-06,13.7,0,59.3,19.14,1,0.87,1.45,2020,10,76,5864,4455,100.18,107.03,78,5,1676.30057803468
"240",661,105,2020-10-07,14.1,0,71.4,8.38,1,4.53,6.77,2020,10,76,5864,4455,100.18,107.03,67,5,1496.13259668508
"241",662,105,2020-10-08,15.4,0,69.6,18.03,1,0.28,0.54,2020,10,76,5864,4455,100.18,107.03,70,5,1928.57142857143
"242",664,105,2020-10-10,15.8,0,70.5,8.52,1,1.59,3.09,2020,10,76,5864,4455,100.18,107.03,74,4,1950.81967213115
"243",666,105,2020-10-12,16.7,0,71,12.02,1,0.33,0.61,2020,10,76,5864,4455,100.18,107.03,85,4,1876.92307692308
"244",667,105,2020-10-13,14.7,0,70.8,11.61,1,0.37,0.71,2020,10,76,5864,4455,100.18,107.03,84,4,1945.20547945205
"245",668,105,2020-10-14,14.2,0,61.3,11.09,1,0.96,1.91,2020,10,76,5864,4455,100.18,107.03,71,4,2000
"246",669,105,2020-10-15,12.3,0,59,14.09,1,0.41,0.79,2020,10,76,5864,4455,100.18,107.03,69,4,1924.93946731235
"247",670,105,2020-10-16,13.8,0,57.5,9.63,1,1.03,2.03,2020,10,76,5864,4455,100.18,107.03,93,4,1978.55750487329
"248",673,105,2020-10-19,14.9,0,64,15.26,1,1.04,1.87,2020,10,76,5864,4455,100.18,107.03,82,4,1808.88030888031
"249",674,105,2020-10-20,15.4,0,62.5,16.06,1,0.27,0.53,2020,10,76,5864,4455,100.18,107.03,78,4,1958.9552238806
"250",675,105,2020-10-21,15.6,0,54.3,6.65,1,1.11,2.22,2020,10,76,5864,4455,100.18,107.03,93,4,2000
"251",676,105,2020-10-22,17,0,51.5,9.99,1,0.26,0.49,2020,10,76,5864,4455,100.18,107.03,77,4,1921.56862745098
"252",677,105,2020-10-23,11.9,0,44.9,16.12,1,0.38,0.73,2020,10,76,5864,4455,100.18,107.03,60,4,1946.66666666667
"253",680,105,2020-10-26,14.3,0,49.4,15.09,1,1.5,2.94,2020,10,76,5864,4455,100.18,107.03,80,4,1963.87959866221
"254",681,105,2020-10-27,15.7,0,56.4,13.2,1,0.26,0.5,2020,10,76,5864,4455,100.18,107.03,82,4,1923.07692307692
"255",683,105,2020-10-29,11,0,50.5,14.72,1,0.41,0.77,2020,10,76,5864,4455,100.18,107.03,59,4,1899.50980392157
"256",684,105,2020-10-30,11.3,0,65.5,9.58,1,0.77,1.52,2020,10,76,5864,4455,100.18,107.03,61,4,1974.02597402597
"257",687,105,2020-11-02,13.1,0,40.8,13.77,1,0.72,1.37,2020,11,76,5864,4455,100.09,111.13,64,5,1902.77777777778
"258",688,105,2020-11-03,8,0,31.6,15,1,1.41,2.72,2020,11,76,5864,4455,100.09,111.13,41,5,1927.71084337349
"259",689,105,2020-11-04,8,0,26.9,14.55,1,0.43,0.79,2020,11,76,5864,4455,100.09,111.13,42,4,1857.47663551402
"260",690,105,2020-11-05,13.8,0,36.8,12.76,1,0.43,0.79,2020,11,76,5864,4455,100.09,111.13,62,4,1857.47663551402
